교전/전투피해평가 보고,2025년 10월 30일 6시 33분,"52S DG 279 985에서 포착된 정찰/정보 수집 세력에 대해 2여단의 타격(약 831발) 결과 표적 피해율은 67%로 평가되며, 효과는 '파괴'로 판단됨."
교전/전투피해평가 보고,2025년 10월 30일 8시 4분,"52S DG 286 979에서 포착된 정찰/정보 수집 세력에 대해 2여단의 타격(약 183발) 결과 표적 피해율은 77%로 평가되며, 효과는 '제압'로 판단됨."
교전/전투피해평가 보고,2025년 10월 30일 8시 30분,"포병여단에 의해 52S DG 285 984 근처 표적(정보 표적)에 대한 타격 실시, 발수 182발, 손상도 97%로 집계되었고 결과는 제압로 정리됨."
교전/전투피해평가 보고,2025년 10월 30일 19시 31분,"52S DG 286 954에서 포착된 공병 팀에 대해 1사단의 타격(약 984발) 결과 표적 피해율은 8%로 평가되며, 효과는 '제압'로 판단됨."
교전/전투피해평가 보고,2025년 10월 30일 20시 45분,"52S DG 293 960 일대에서 지휘통제 시설이 포착되어 2여단이 화력 약 349발을 투입, 표적 손상도 약 7%로 분석되며 획득 효과는 '효력없음'로 평가됨."
교전/전투피해평가 보고,2025년 10월 30일 23시 7분,"포병여단에 의해 52S DG 268 964 근처 표적(수송 편성)에 대한 타격 실시, 발수 664발, 손상도 96%로 집계되었고 결과는 무력화로 정리됨."
교전/전투피해평가 보고,2025년 10월 30일 23시 32분,"포병여단에 의해 52S DG 277 960 근처 표적(기동 편성)에 대한 타격 실시, 발수 691발, 손상도 93%로 집계되었고 결과는 무력화로 정리됨."
교전/전투피해평가 보고,2025년 10월 30일 23시 33분,"1여단에 의해 52S DG 284 975 근처 표적(정찰/정보 수집 세력)에 대한 타격 실시, 발수 824발, 손상도 27%로 집계되었고 결과는 미확인로 정리됨."
교전/전투피해평가 보고,2025년 10월 31일 0시 54분,"52S DG 293 944에서 포착된 보급대열에 대해 1사단의 타격(약 157발) 결과 표적 피해율은 23%로 평가되며, 효과는 '무력화'로 판단됨."
교전/전투피해평가 보고,2025년 10월 31일 2시 24분,"포병여단에 의해 52S DG 293 955 근처 표적(비특정 표적)에 대한 타격 실시, 발수 946발, 손상도 64%로 집계되었고 결과는 제압로 정리됨."
교전/전투피해평가 보고,2025년 10월 31일 3시 53분,"52S DG 293 985에서 포착된 정보 표적에 대해 2여단의 타격(약 256발) 결과 표적 피해율은 59%로 평가되며, 효과는 '미확인'로 판단됨."
교전/전투피해평가 보고,2025년 10월 31일 8시 21분,"52S DG 289 971에서 포착된 방공 전력에 대해 포병여단의 타격(약 162발) 결과 표적 피해율은 10%로 평가되며, 효과는 '효력없음'로 판단됨."
교전/전투피해평가 보고,2025년 10월 31일 9시 43분,"52S DG 275 986에서 포착된 방공 전력에 대해 2여단의 타격(약 733발) 결과 표적 피해율은 27%로 평가되며, 효과는 '무력화'로 판단됨."
교전/전투피해평가 보고,2025년 10월 31일 14시 43분,"3여단에 의해 52S DG 294 977 근처 표적(수송 편성)에 대한 타격 실시, 발수 974발, 손상도 3%로 집계되었고 결과는 무력화로 정리됨."
교전/전투피해평가 보고,2025년 10월 31일 15시 10분,"52S DG 277 959에서 포착된 공병 팀에 대해 3여단의 타격(약 860발) 결과 표적 피해율은 30%로 평가되며, 효과는 '무력화'로 판단됨."
교전/전투피해평가 보고,2025년 10월 31일 16시 3분,"3여단에 의해 52S DG 283 977 근처 표적(CBRN 관련 표적)에 대한 타격 실시, 발수 680발, 손상도 94%로 집계되었고 결과는 제압로 정리됨."
교전/전투피해평가 보고,2025년 10월 31일 17시 28분,"52S DG 264 976에서 포착된 비특정 표적에 대해 1여단의 타격(약 580발) 결과 표적 피해율은 14%로 평가되며, 효과는 '미확인'로 판단됨."
교전/전투피해평가 보고,2025년 10월 31일 20시 19분,"52S DG 289 945 일대에서 CBRN 관련 표적이 포착되어 3여단이 화력 약 374발을 투입, 표적 손상도 약 78%로 분석되며 획득 효과는 '효력없음'로 평가됨."
